order_id,lng,lat,depot_lat,depot_lng,dlvr_seq_num
935442.0,126.56893,43.81414,43.8121,126.5669,1
2119726.0,126.57,43.81954,43.8121,126.5669,2
1163945.0,126.56808,43.82254,43.8121,126.5669,3
1898768.0,126.56574,43.82126,43.8121,126.5669,4
1967889.0,126.56403,43.82447,43.8121,126.5669,5
3143754.0,126.55921,43.81791,43.8121,126.5669,6
2349221.0,126.55716,43.81811,43.8121,126.5669,7
4312189.0,126.55094,43.81513,43.8121,126.5669,8
1720666.0,126.54845,43.82043,43.8121,126.5669,9
1331947.0,126.54723,43.82336,43.8121,126.5669,10
98750.0,126.55001,43.82377,43.8121,126.5669,11
884300.0,126.54414,43.82441,43.8121,126.5669,12
3024356.0,126.54393,43.82416,43.8121,126.5669,13
689448.0,126.55272,43.82785,43.8121,126.5669,14
2918628.0,126.57607,43.82599,43.8121,126.5669,15
512980.0,126.57915,43.82581,43.8121,126.5669,16
66954.0,126.59199,43.82113,43.8121,126.5669,17
323232.0,126.56633,43.808,43.8121,126.5669,18
2686188.0,126.56021,43.80409,43.8121,126.5669,19
1972934.0,126.56047,43.80009,43.8121,126.5669,20
3639929.0,126.55293,43.79402,43.8121,126.5669,21
2752609.0,126.5548,43.80953,43.8121,126.5669,22
2977295.0,126.53659,43.80667,43.8121,126.5669,23
619869.0,126.59201,43.77702,43.8121,126.5669,24
2561510.0,126.49273,43.76271,43.8121,126.5669,25
